image_id,file,split,individual_id,ground_truth_species,original_organ_category,original_organ_detail,original_subview,normalized_organ
baskauf/51414,baskauf_51414.jpg,validation,vanderbilt/6-238,Nyssa sylvatica,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/51416,baskauf_51416.jpg,validation,vanderbilt/6-238,Nyssa sylvatica,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/51409,baskauf_51409.jpg,validation,vanderbilt/6-238,Nyssa sylvatica,inflorescence,inflorescence,whole - male,inflorescence
baskauf/51411,baskauf_51411.jpg,validation,vanderbilt/6-238,Nyssa sylvatica,inflorescence,inflorescence,whole - male,inflorescence
baskauf/51418,baskauf_51418.jpg,validation,vanderbilt/6-238,Nyssa sylvatica,inflorescence,inflorescence,whole - male,inflorescence
baskauf/91067,baskauf_91067.jpg,validation,vanderbilt/6-238,Nyssa sylvatica,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10574,baskauf_10574.jpg,train,vanderbilt/6-236,Nyssa sylvatica,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/29397,baskauf_29397.jpg,train,ind-baskauf/29396,Nyssa sylvatica,fruit,fruit,as borne on the plant,fruit
baskauf/29400,baskauf_29400.jpg,train,ind-baskauf/29396,Nyssa sylvatica,fruit,fruit,lateral or general close-up,fruit
baskauf/27927,baskauf_27927.jpg,train,ind-baskauf/27926,Nyssa sylvatica,fruit,fruit,immature,fruit
baskauf/27929,baskauf_27929.jpg,train,ind-baskauf/27926,Nyssa sylvatica,fruit,fruit,immature,fruit
baskauf/15141,baskauf_15141.jpg,train,ind-baskauf/15141,Nyssa sylvatica,leaf,leaf,showing orientation on twig,leaf
baskauf/15143,baskauf_15143.jpg,train,ind-baskauf/15141,Nyssa sylvatica,leaf,leaf,showing orientation on twig,leaf
baskauf/15144,baskauf_15144.jpg,train,ind-baskauf/15141,Nyssa sylvatica,twig,twig,orientation of petioles,twig
baskauf/d0997,baskauf_d0997.jpg,train,ind-baskauf/d0997,Nyssa sylvatica,leaf,leaf,showing orientation on twig,leaf
baskauf/10427,baskauf_10427.jpg,train,ind-baskauf/10427,Nyssa sylvatica,twig,twig,close-up winter leaf scar/bud,twig
baskauf/16710,baskauf_16710.jpg,train,ind-baskauf/16683,Nyssa sylvatica,twig,twig,close-up winter leaf scar/bud,twig
baskauf/16683,baskauf_16683.jpg,train,ind-baskauf/16683,Nyssa sylvatica,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/11100,baskauf_11100.jpg,train,ind-baskauf/11100,Juniperus virginiana,bark,bark,of a large tree,bark
baskauf/11524,baskauf_11524.jpg,test,ind-baskauf/11522,Juniperus virginiana,bark,bark,of a large tree,bark
baskauf/11522,baskauf_11522.jpg,test,ind-baskauf/11522,Juniperus virginiana,whole tree,whole tree,general,whole plant
baskauf/10791,baskauf_10791.jpg,train,ind-baskauf/10791,Juniperus virginiana,cone,cone,female - closed,cone
baskauf/10793,baskauf_10793.jpg,train,ind-baskauf/10791,Juniperus virginiana,cone,cone,female - closed,cone
baskauf/10794,baskauf_10794.jpg,train,ind-baskauf/10791,Juniperus virginiana,cone,cone,female - closed,cone
baskauf/50707,baskauf_50707.jpg,validation,ind-baskauf/50704,Juniperus virginiana,cone,cone,female - closed,cone
baskauf/50709,baskauf_50709.jpg,validation,ind-baskauf/50704,Juniperus virginiana,cone,cone,female - closed,cone
baskauf/50587,baskauf_50587.jpg,train,ind-baskauf/50583,Juniperus virginiana,cone,cone,male,cone
baskauf/50588,baskauf_50588.jpg,train,ind-baskauf/50583,Juniperus virginiana,cone,cone,male,cone
baskauf/50586,baskauf_50586.jpg,train,ind-baskauf/50583,Juniperus virginiana,whole tree,whole tree,general,whole plant
baskauf/11202,baskauf_11202.jpg,train,ind-baskauf/11202,Juniperus virginiana,leaf,leaf,showing orientation on twig,leaf
baskauf/11166,baskauf_11166.jpg,train,ind-baskauf/11166,Juniperus virginiana,twig,twig,showing attachment of needles,twig
baskauf/10332,baskauf_10332.jpg,train,ind-baskauf/10332,Juniperus virginiana,whole tree,whole tree,general,whole plant
baskauf/10333,baskauf_10333.jpg,train,ind-baskauf/10333,Juniperus virginiana,whole tree,whole tree,general,whole plant
baskauf/89384,baskauf_89384.jpg,train,vanderbilt/7-307,Juniperus virginiana,whole tree (or vine),whole tree (or vine),winter,whole plant
baskauf/11227,baskauf_11227.jpg,train,ind-baskauf/11227,Cercis canadensis,bark,bark,of a small tree or small branch,bark
thomas/0049-08-05,thomas_0049-08-05.jpg,test,thomas/0049-08,Cercis canadensis,inflorescence,inflorescence,frontal view of flower,inflorescence
thomas/0049-08-04,thomas_0049-08-04.jpg,test,thomas/0049-08,Cercis canadensis,inflorescence,inflorescence,lateral view of flower,inflorescence
thomas/0049-08-02,thomas_0049-08-02.jpg,test,thomas/0049-08,Cercis canadensis,inflorescence,inflorescence,whole - unspecified,inflorescence
thomas/0049-08-03,thomas_0049-08-03.jpg,test,thomas/0049-08,Cercis canadensis,inflorescence,inflorescence,whole - unspecified,inflorescence
thomas/0049-08-01,thomas_0049-08-01.jpg,test,thomas/0049-08,Cercis canadensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10392,baskauf_10392.jpg,train,vanderbilt/6-186,Cercis canadensis,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/10393,baskauf_10393.jpg,train,vanderbilt/6-186,Cercis canadensis,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/51003,baskauf_51003.jpg,train,ind-baskauf/51001,Cercis canadensis,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/51004,baskauf_51004.jpg,train,ind-baskauf/51001,Cercis canadensis,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/10206,baskauf_10206.jpg,validation,ind-baskauf/10207,Cercis canadensis,fruit,fruit,as borne on the plant,fruit
baskauf/10207,baskauf_10207.jpg,validation,ind-baskauf/10207,Cercis canadensis,fruit,fruit,as borne on the plant,fruit
baskauf/10339,baskauf_10339.jpg,validation,ind-baskauf/10207,Cercis canadensis,fruit,fruit,as borne on the plant,fruit
baskauf/15391,baskauf_15391.jpg,train,ind-baskauf/10739,Cercis canadensis,fruit,fruit,as borne on the plant,fruit
baskauf/10739,baskauf_10739.jpg,train,ind-baskauf/10739,Cercis canadensis,fruit,fruit,immature,fruit
baskauf/11211,baskauf_11211.jpg,train,ind-baskauf/10739,Cercis canadensis,fruit,fruit,immature,fruit
baskauf/15395,baskauf_15395.jpg,train,ind-baskauf/10739,Cercis canadensis,leaf,leaf,margin of upper + lower surface,leaf
baskauf/11206,baskauf_11206.jpg,train,ind-baskauf/10739,Cercis canadensis,leaf,leaf,showing orientation on twig,leaf
baskauf/11208,baskauf_11208.jpg,train,ind-baskauf/10739,Cercis canadensis,leaf,leaf,showing orientation on twig,leaf
baskauf/17265,baskauf_17265.jpg,train,ind-baskauf/10739,Cercis canadensis,twig,twig,winter overall,twig
baskauf/10766,baskauf_10766.jpg,train,ind-baskauf/10766,Cercis canadensis,leaf,leaf,showing orientation on twig,leaf
baskauf/29777,baskauf_29777.jpg,train,ind-baskauf/29774,Cercis canadensis,twig,twig,orientation of petioles,twig
baskauf/29775,baskauf_29775.jpg,train,ind-baskauf/29774,Cercis canadensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10491,baskauf_10491.jpg,train,ind-baskauf/10491,Cercis canadensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10493,baskauf_10493.jpg,train,ind-baskauf/10493,Cercis canadensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/10497,baskauf_10497.jpg,train,ind-baskauf/10497,Cercis canadensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/90931,baskauf_90931.jpg,train,vanderbilt/6-29,Cercis canadensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/89354,baskauf_89354.jpg,train,vanderbilt/6-29,Cercis canadensis,whole tree (or vine),whole tree (or vine),winter,whole plant
baskauf/91134,baskauf_91134.jpg,train,vanderbilt/12-82,Cercis canadensis,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/15521,baskauf_15521.jpg,train,ind-baskauf/15521,Gleditsia triacanthos,bark,bark,of a large tree,bark
baskauf/15533,baskauf_15533.jpg,train,ind-baskauf/15521,Gleditsia triacanthos,bark,bark,of a large tree,bark
baskauf/15537,baskauf_15537.jpg,train,ind-baskauf/15521,Gleditsia triacanthos,leaf,leaf,showing orientation on twig,leaf
baskauf/15531,baskauf_15531.jpg,train,ind-baskauf/15521,Gleditsia triacanthos,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/d1104,baskauf_d1104.jpg,train,ind-baskauf/d1104,Gleditsia triacanthos,bark,bark,of a large tree,bark
baskauf/d1112,baskauf_d1112.jpg,train,ind-baskauf/d1104,Gleditsia triacanthos,bark,bark,of a large tree,bark
baskauf/d1110,baskauf_d1110.jpg,train,ind-baskauf/d1104,Gleditsia triacanthos,fruit,fruit,lateral or general close-up,fruit
baskauf/66149,baskauf_66149.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,bark,bark,of a medium tree or large branch,bark
baskauf/66163,baskauf_66163.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,bark,bark,of a small tree or small branch,bark
baskauf/66135,baskauf_66135.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/66137,baskauf_66137.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/66134,baskauf_66134.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,inflorescence,inflorescence,whole - female,inflorescence
baskauf/66138,baskauf_66138.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,inflorescence,inflorescence,whole - female,inflorescence
baskauf/66140,baskauf_66140.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,inflorescence,inflorescence,whole - female,inflorescence
baskauf/66153,baskauf_66153.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,leaf,leaf,margin of upper + lower surface,leaf
baskauf/66141,baskauf_66141.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,leaf,leaf,whole upper surface,leaf
baskauf/66144,baskauf_66144.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,leaf,leaf,whole upper surface,leaf
baskauf/66145,baskauf_66145.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,leaf,leaf,whole upper surface,leaf
baskauf/66154,baskauf_66154.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66155,baskauf_66155.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66156,baskauf_66156.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66157,baskauf_66157.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66159,baskauf_66159.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66161,baskauf_66161.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66147,baskauf_66147.jpg,train,ind-baskauf/66133,Gleditsia triacanthos,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/66181,baskauf_66181.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,bark,bark,of a medium tree or large branch,bark
baskauf/66182,baskauf_66182.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,bark,bark,of a medium tree or large branch,bark
baskauf/66185,baskauf_66185.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/66188,baskauf_66188.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/66187,baskauf_66187.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/66183,baskauf_66183.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,inflorescence,inflorescence,whole - male,inflorescence
baskauf/66184,baskauf_66184.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,inflorescence,inflorescence,whole - male,inflorescence
baskauf/66191,baskauf_66191.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,inflorescence,inflorescence,whole - male,inflorescence
baskauf/66192,baskauf_66192.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,inflorescence,inflorescence,whole - male,inflorescence
baskauf/66190,baskauf_66190.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66180,baskauf_66180.jpg,test,ind-baskauf/66180,Gleditsia triacanthos,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/51771,baskauf_51771.jpg,train,ind-baskauf/51771,Gleditsia triacanthos,inflorescence,inflorescence,unspecified,inflorescence
baskauf/66166,baskauf_66166.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,fruit,fruit,immature,fruit
baskauf/66167,baskauf_66167.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,fruit,fruit,immature,fruit
baskauf/66168,baskauf_66168.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,fruit,fruit,immature,fruit
baskauf/66169,baskauf_66169.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,fruit,fruit,immature,fruit
baskauf/66170,baskauf_66170.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,fruit,fruit,immature,fruit
baskauf/66175,baskauf_66175.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,leaf,leaf,margin of upper + lower surface,leaf
baskauf/66172,baskauf_66172.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,leaf,leaf,whole upper surface,leaf
baskauf/66176,baskauf_66176.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,leaf,leaf,whole upper surface,leaf
baskauf/66178,baskauf_66178.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,leaf,leaf,whole upper surface,leaf
baskauf/66173,baskauf_66173.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66174,baskauf_66174.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/66164,baskauf_66164.jpg,validation,ind-baskauf/66164,Gleditsia triacanthos,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/21602,baskauf_21602.jpg,train,ind-baskauf/21594,Gleditsia triacanthos,leaf,leaf,showing orientation on twig,leaf
baskauf/21595,baskauf_21595.jpg,train,ind-baskauf/21594,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/21592,baskauf_21592.jpg,train,ind-baskauf/21594,Gleditsia triacanthos,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/38435,baskauf_38435.jpg,train,ind-baskauf/38435,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/38436,baskauf_38436.jpg,train,ind-baskauf/38435,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/38439,baskauf_38439.jpg,train,ind-baskauf/38435,Gleditsia triacanthos,twig,twig,orientation of petioles,twig
baskauf/15988,baskauf_15988.jpg,test,vanderbilt/12-177,Gymnocladus dioicus,bark,bark,of a large tree,bark
baskauf/91144,baskauf_91144.jpg,test,vanderbilt/12-177,Gymnocladus dioicus,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/15984,baskauf_15984.jpg,test,vanderbilt/12-177,Gymnocladus dioicus,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/24245,baskauf_24245.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,bark,bark,of a large tree,bark
baskauf/51691,baskauf_51691.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,inflorescence,inflorescence,close-up of flower interior,inflorescence
baskauf/33649,baskauf_33649.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/51706,baskauf_51706.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/33651,baskauf_33651.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/51704,baskauf_51704.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/33646,baskauf_33646.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/51686,baskauf_51686.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/24227,baskauf_24227.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,fruit,fruit,as borne on the plant,fruit
baskauf/24270,baskauf_24270.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,fruit,fruit,as borne on the plant,fruit
baskauf/51688,baskauf_51688.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,fruit,fruit,immature,fruit
baskauf/51694,baskauf_51694.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,fruit,fruit,immature,fruit
baskauf/51695,baskauf_51695.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,fruit,fruit,immature,fruit
baskauf/24254,baskauf_24254.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,fruit,fruit,lateral or general close-up,fruit
baskauf/24261,baskauf_24261.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,fruit,fruit,section or open,fruit
baskauf/24251,baskauf_24251.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,leaf,leaf,margin of upper + lower surface,leaf
baskauf/24248,baskauf_24248.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,leaf,leaf,whole upper surface,leaf
baskauf/24265,baskauf_24265.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,seed,seed,general view,seed
baskauf/24849,baskauf_24849.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,seed,seed,general view,seed
baskauf/63781,baskauf_63781.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,twig,twig,close-up winter leaf scar/bud,twig
baskauf/63783,baskauf_63783.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,twig,twig,close-up winter terminal bud,twig
baskauf/24236,baskauf_24236.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,twig,twig,orientation of petioles,twig
baskauf/63779,baskauf_63779.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,twig,twig,winter overall,twig
baskauf/25638,baskauf_25638.jpg,train,ind-baskauf/24227,Gymnocladus dioicus,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/50913,baskauf_50913.jpg,train,ind-baskauf/50912,Gymnocladus dioicus,bark,bark,of a large tree,bark
baskauf/11902,baskauf_11902.jpg,validation,ind-baskauf/11894,Gymnocladus dioicus,bark,bark,of a small tree or small branch,bark
baskauf/11899,baskauf_11899.jpg,validation,ind-baskauf/11894,Gymnocladus dioicus,leaf,leaf,unspecified,leaf
baskauf/11896,baskauf_11896.jpg,validation,ind-baskauf/11894,Gymnocladus dioicus,leaf,leaf,whole upper surface,leaf
baskauf/11905,baskauf_11905.jpg,validation,ind-baskauf/11894,Gymnocladus dioicus,twig,twig,orientation of petioles,twig
baskauf/11894,baskauf_11894.jpg,validation,ind-baskauf/11894,Gymnocladus dioicus,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/11454,baskauf_11454.jpg,train,ind-baskauf/11454,Robinia pseudoacacia,bark,bark,of a large tree,bark
baskauf/11458,baskauf_11458.jpg,train,ind-baskauf/11454,Robinia pseudoacacia,bark,bark,of a large tree,bark
baskauf/11457,baskauf_11457.jpg,train,ind-baskauf/11454,Robinia pseudoacacia,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/11498,baskauf_11498.jpg,train,ind-baskauf/11498,Robinia pseudoacacia,bark,bark,of a large tree,bark
baskauf/11499,baskauf_11499.jpg,train,ind-baskauf/11498,Robinia pseudoacacia,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
baskauf/11505,baskauf_11505.jpg,train,ind-baskauf/11504,Robinia pseudoacacia,bark,bark,of a large tree,bark
baskauf/11504,baskauf_11504.jpg,train,ind-baskauf/11504,Robinia pseudoacacia,whole tree (or vine),whole tree (or vine),view up trunk,whole plant
thomas/0486-01-06,thomas_0486-01-06.jpg,train,thomas/0486-01,Robinia pseudoacacia,bark,bark,of a small tree or small branch,bark
thomas/0486-01-11,thomas_0486-01-11.jpg,train,thomas/0486-01,Robinia pseudoacacia,inflorescence,inflorescence,close-up of flower interior,inflorescence
thomas/0486-01-01,thomas_0486-01-01.jpg,train,thomas/0486-01,Robinia pseudoacacia,inflorescence,inflorescence,lateral view of flower,inflorescence
thomas/0486-01-10,thomas_0486-01-10.jpg,train,thomas/0486-01,Robinia pseudoacacia,inflorescence,inflorescence,ventral view of flower + perianth,inflorescence
thomas/0486-01-03,thomas_0486-01-03.jpg,train,thomas/0486-01,Robinia pseudoacacia,inflorescence,inflorescence,whole - unspecified,inflorescence
thomas/0486-01-05,thomas_0486-01-05.jpg,train,thomas/0486-01,Robinia pseudoacacia,inflorescence,inflorescence,whole - unspecified,inflorescence
thomas/0486-01-08,thomas_0486-01-08.jpg,train,thomas/0486-01,Robinia pseudoacacia,fruit,fruit,as borne on the plant,fruit
thomas/0486-01-04,thomas_0486-01-04.jpg,train,thomas/0486-01,Robinia pseudoacacia,leaf,leaf,whole upper surface,leaf
thomas/0486-01-07,thomas_0486-01-07.jpg,train,thomas/0486-01,Robinia pseudoacacia,twig,twig,orientation of petioles,twig
thomas/0486-01-09,thomas_0486-01-09.jpg,train,thomas/0486-01,Robinia pseudoacacia,twig,twig,unspecified,twig
thomas/0486-01-02,thomas_0486-01-02.jpg,train,thomas/0486-01,Robinia pseudoacacia,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/21611,baskauf_21611.jpg,validation,ind-baskauf/21607,Robinia pseudoacacia,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/21608,baskauf_21608.jpg,validation,ind-baskauf/21607,Robinia pseudoacacia,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/21605,baskauf_21605.jpg,validation,ind-baskauf/21607,Robinia pseudoacacia,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/21618,baskauf_21618.jpg,validation,ind-baskauf/21607,Robinia pseudoacacia,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/22004,baskauf_22004.jpg,test,ind-baskauf/21999,Robinia pseudoacacia,inflorescence,inflorescence,frontal view of flower,inflorescence
baskauf/22014,baskauf_22014.jpg,test,ind-baskauf/21999,Robinia pseudoacacia,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/21999,baskauf_21999.jpg,test,ind-baskauf/21999,Robinia pseudoacacia,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/15353,baskauf_15353.jpg,train,ind-baskauf/15353,Robinia pseudoacacia,fruit,fruit,as borne on the plant,fruit
baskauf/15356,baskauf_15356.jpg,train,ind-baskauf/15353,Robinia pseudoacacia,fruit,fruit,lateral or general close-up,fruit
baskauf/15573,baskauf_15573.jpg,train,ind-baskauf/15573,Robinia pseudoacacia,leaf,leaf,margin of upper + lower surface,leaf
baskauf/11508,baskauf_11508.jpg,train,ind-baskauf/11506,Robinia pseudoacacia,leaf,leaf,showing orientation on twig,leaf
baskauf/11506,baskauf_11506.jpg,train,ind-baskauf/11506,Robinia pseudoacacia,leaf,leaf,whole upper surface,leaf
baskauf/11509,baskauf_11509.jpg,train,ind-baskauf/11506,Robinia pseudoacacia,whole tree (or vine),whole tree (or vine),general,whole plant
baskauf/29730,baskauf_29730.jpg,train,ind-baskauf/29725,Robinia pseudoacacia,leaf,leaf,whole upper surface,leaf
baskauf/29725,baskauf_29725.jpg,train,ind-baskauf/29725,Robinia pseudoacacia,twig,twig,orientation of petioles,twig
baskauf/11632,baskauf_11632.jpg,train,ind-baskauf/11632,Robinia pseudoacacia,twig,twig,orientation of petioles,twig
baskauf/11633,baskauf_11633.jpg,train,ind-baskauf/11632,Robinia pseudoacacia,twig,twig,orientation of petioles,twig
baskauf/11534,baskauf_11534.jpg,test,ind-baskauf/11534,Castanea dentata,bark,bark,of a large tree,bark
baskauf/11535,baskauf_11535.jpg,train,ind-baskauf/11535,Castanea dentata,bark,bark,of a large tree,bark
baskauf/26253,baskauf_26253.jpg,validation,ind-baskauf/26248,Castanea dentata,bark,bark,of a large tree,bark
baskauf/35251,baskauf_35251.jpg,train,ind-baskauf/30720,Castanea dentata,inflorescence,inflorescence,lateral view of flower,inflorescence
baskauf/35249,baskauf_35249.jpg,train,ind-baskauf/30720,Castanea dentata,inflorescence,inflorescence,whole - unspecified,inflorescence
baskauf/30723,baskauf_30723.jpg,train,ind-baskauf/30720,Castanea dentata,fruit,fruit,section or open,fruit
baskauf/30724,baskauf_30724.jpg,train,ind-baskauf/30720,Castanea dentata,fruit,fruit,section or open,fruit
baskauf/11845,baskauf_11845.jpg,train,ind-baskauf/11845,Castanea dentata,leaf,leaf,showing orientation on twig,leaf
baskauf/11848,baskauf_11848.jpg,train,ind-baskauf/11845,Castanea dentata,leaf,leaf,whole upper surface,leaf
baskauf/11854,baskauf_11854.jpg,train,ind-baskauf/11845,Castanea dentata,twig,twig,close-up winter leaf scar/bud,twig
baskauf/11849,baskauf_11849.jpg,train,ind-baskauf/11845,Castanea dentata,twig,twig,orientation of petioles,twig
baskauf/10432,baskauf_10432.jpg,test,ind-baskauf/10432,Fagus grandifolia,bark,bark,of a large tree,bark
baskauf/10550,baskauf_10550.jpg,test,ind-baskauf/10432,Fagus grandifolia,fruit,fruit,section or open,fruit
baskauf/29683,baskauf_29683.jpg,test,ind-baskauf/10432,Fagus grandifolia,leaf,leaf,whole upper surface,leaf
baskauf/29685,baskauf_29685.jpg,test,ind-baskauf/10432,Fagus grandifolia,twig,twig,orientation of petioles,twig
baskauf/29773,baskauf_29773.jpg,test,ind-baskauf/10432,Fagus grandifolia,whole tree (or vine),whole tree (or vine),general,whole plant
kirchoff/ac1516,kirchoff_ac1516.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,bark,bark,of a large tree,bark
kirchoff/ac1517,kirchoff_ac1517.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,bark,bark,of a large tree,bark
kirchoff/em2192,kirchoff_em2192.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,bark,bark,of a large tree,bark
kirchoff/ac1518,kirchoff_ac1518.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,fruit,fruit,as borne on the plant,fruit
kirchoff/em2061,kirchoff_em2061.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,fruit,fruit,lateral or general close-up,fruit
kirchoff/em2002,kirchoff_em2002.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,leaf,leaf,margin of upper + lower surface,leaf
kirchoff/em2198,kirchoff_em2198.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,leaf,leaf,margin of upper + lower surface,leaf
kirchoff/em2001,kirchoff_em2001.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,leaf,leaf,whole upper surface,leaf
kirchoff/em2003,kirchoff_em2003.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,leaf,leaf,whole upper surface,leaf
kirchoff/em2062,kirchoff_em2062.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,leaf,leaf,whole upper surface,leaf
kirchoff/em2063,kirchoff_em2063.jpg,train,ind-kirchoff/mason09,Fagus grandifolia,leaf,leaf,whole upper surface,leaf
